file,size_mb,top_keys,skip_reason,n_images,n_annotations,n_categories,seg_kinds,crowd_keys,seg_sampling,n_catnames,extra
egosurgery_tool_bbox/annotations/bbox/by_split/hands/test.json,5.80,images|annotations|categories|info|licenses,,4255,13676,4,rect_polygon:1000,iscrowd:13676,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_split/hands/train.json,11.98,images|annotations|categories|info|licenses,,9627,27726,4,rect_polygon:1000,iscrowd:27726,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_split/hands/val.json,2.08,images|annotations|categories|info|licenses,,1515,4918,4,rect_polygon:1000,iscrowd:4918,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_split/tools/test.json,5.46,images|annotations|categories|info|licenses,,4265,12673,15,rect_polygon:1000,iscrowd:12673,sampled=1000,15,
egosurgery_tool_bbox/annotations/bbox/by_split/tools/train.json,13.63,images|annotations|categories|info|licenses,,9657,32272,15,rect_polygon:1000,iscrowd:32272,sampled=1000,15,
egosurgery_tool_bbox/annotations/bbox/by_split/tools/val.json,2.01,images|annotations|categories|info|licenses,,1515,4707,15,rect_polygon:1000,iscrowd:4707,sampled=1000,15,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/01/annotations.json,1.38,images|categories|annotations|licenses|info,,982,3278,4,rect_polygon:1000,iscrowd:3278,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/02/annotations.json,0.62,images|categories|annotations|licenses|info,,529,1431,4,rect_polygon:1000,iscrowd:1431,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/03/annotations.json,1.28,images|categories|annotations|licenses|info,,1406,2732,4,rect_polygon:1000,iscrowd:2732,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/04/annotations.json,2.20,images|categories|annotations|licenses|info,,1415,5334,4,rect_polygon:1000,iscrowd:5334,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/05/annotations.json,1.67,images|categories|annotations|licenses|info,,1451,3795,4,rect_polygon:1000,iscrowd:3795,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/06/annotations.json,2.19,images|categories|annotations|licenses|info,,1890,4993,4,rect_polygon:1000,iscrowd:4993,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/07/annotations.json,2.84,images|categories|annotations|licenses|info,,2146,6679,4,rect_polygon:1000,iscrowd:6679,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/08/annotations.json,1.65,images|categories|annotations|licenses|info,,1599,3647,4,rect_polygon:1000,iscrowd:3647,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/09/annotations.json,0.73,images|categories|annotations|licenses|info,,591,1692,4,rect_polygon:1000,iscrowd:1692,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/10/annotations.json,1.70,images|categories|annotations|licenses|info,,1216,4050,4,rect_polygon:1000,iscrowd:4050,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/11/annotations.json,1.01,images|categories|annotations|licenses|info,,885,2307,4,rect_polygon:1000,iscrowd:2307,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/12/annotations.json,1.53,images|categories|annotations|licenses|info,,1187,3584,4,rect_polygon:1000,iscrowd:3584,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/13/annotations.json,1.15,images|categories|annotations|licenses|info,,1050,2577,4,rect_polygon:1000,iscrowd:2577,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/14/annotations.json,2.86,images|categories|annotations|licenses|info,,1955,6884,4,rect_polygon:1000,iscrowd:6884,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/hands/15/annotations.json,1.73,images|categories|annotations|licenses|info,,1130,4190,4,rect_polygon:1000,iscrowd:4190,sampled=1000,4,
egosurgery_tool_bbox/annotations/bbox/by_video/tool/01/annotations.json,1.12,images|categories|annotations|licenses|info,,982,2531,31,rect_polygon:1000,iscrowd:2531,sampled=1000,31,
egosurgery_tool_bbox/annotations/bbox/by_video/tool/02/annotations.json,0.62,images|categories|annotations|licenses|info,,531,1416,31,rect_polygon:1000,iscrowd:1416,sampled=1000,31,
egosurgery_tool_bbox/annotations/bbox/by_video/tool/03/annotations.json,3.12,images|categories|annotations|licenses|info,,1472,7869,31,rect_polygon:1000,iscrowd:7869,sampled=1000,31,
egosurgery_tool_bbox/annotations/bbox/by_video/tool/04/annotations.json,1.54,images|categories|annotations|licenses|info,,1415,3434,31,rect_polygon:1000,iscrowd:3434,sampled=1000,31,
egosurgery_tool_bbox/annotations/bbox/by_video/tool/05/annotations.json,1.75,images|categories|annotations|licenses|info,,1466,3982,31,rect_polygon:1000,iscrowd:3982,sampled=1000,31,
egosurgery_tool_bbox/annotations/bbox/by_video/tool/06/annotations.json,2.70,images|categories|annotations|licenses|info,,1905,6396,31,rect_polygon:1000,iscrowd:6396,sampled=1000,31,
egosurgery_tool_bbox/annotations/bbox/by_video/tool/07/annotations.json,3.69,images|categories|annotations|licenses|info,,2157,9029,31,rect_polygon:1000,iscrowd:9029,sampled=1000,31,
egosurgery_tool_bbox/annotations/bbox/by_video/tool/08/annotations.json,1.90,images|categories|annotations|licenses|info,,1603,4322,31,rect_polygon:1000,iscrowd:4322,sampled=1000,31,
