Frame,Phase
09_1_0169,disinfection
09_1_0170,disinfection
09_1_0171,disinfection
09_1_0172,disinfection
09_1_0173,disinfection
09_1_0174,disinfection
09_1_0175,disinfection
09_1_0176,disinfection
09_1_0177,disinfection
09_1_0178,disinfection
09_1_0179,disinfection
09_1_0180,disinfection
09_1_0181,disinfection
09_1_0182,disinfection
09_1_0185,disinfection
09_1_0186,disinfection
09_1_0187,disinfection
09_1_0188,disinfection
09_1_0213,design
09_1_0214,design
09_1_0215,design
09_1_0216,design
09_1_0217,design
09_1_0218,design
09_1_0219,design
09_1_0220,design
09_1_0221,design
09_1_0222,design
09_1_0223,design
09_1_0224,design
09_1_0225,design
09_1_0226,design
09_1_0227,design
09_1_0228,design
09_1_0229,design
09_1_0230,design
09_1_0231,design
09_1_0232,design
09_1_0233,design
09_1_0234,design
09_1_0235,design
09_1_0236,design
09_1_0237,design
09_1_0238,design
09_1_0239,design
09_1_0240,design
09_1_0241,design
09_1_0242,design
09_1_0243,design
09_1_0244,design
09_1_0245,design
09_1_0246,design
09_1_0247,design
09_1_0248,design
09_1_0249,design
09_1_0250,design
09_1_0251,design
09_1_0252,design
09_1_0253,design
09_1_0254,design
09_1_0255,design
09_1_0256,design
09_1_0257,design
09_1_0258,design
09_1_0259,design
09_1_0260,design
09_1_0261,design
09_1_0262,design
09_1_0263,design
09_1_0264,design
09_1_0265,design
09_1_0266,design
09_1_0267,design
09_1_0268,design
09_1_0269,design
09_1_0270,design
09_1_0271,design
09_1_0272,design
09_1_0273,design
09_1_0274,design
09_1_0275,design
09_1_0276,design
09_1_0277,design
09_1_0278,design
09_1_0279,design
09_1_0280,design
09_1_0281,design
09_1_0282,design
09_1_0283,design
09_1_0284,design
09_1_0285,design
09_1_0286,design
09_1_0287,design
09_1_0288,design
09_1_0289,design
09_1_0290,design
09_1_0291,design
09_1_0292,design
09_1_0293,design
09_1_0294,design
09_1_0295,design
09_1_0296,design
09_1_0297,design
09_1_0298,design
09_1_0299,design
09_1_0300,design
09_1_0301,design
09_1_0302,design
09_1_0303,design
09_1_0304,design
09_1_0305,design
09_1_0306,design
09_1_0307,design
09_1_0308,design
09_1_0309,design
09_1_0310,design
09_1_0311,design
09_1_0312,design
09_1_0313,design
09_1_0380,anesthesia
09_1_0381,anesthesia
09_1_0382,anesthesia
09_1_0383,anesthesia
09_1_0384,anesthesia
09_1_0385,anesthesia
09_1_0386,anesthesia
09_1_0387,anesthesia
09_1_0388,anesthesia
09_1_0389,anesthesia
09_1_0390,anesthesia
09_1_0391,anesthesia
09_1_0392,anesthesia
09_1_0393,anesthesia
09_1_0394,anesthesia
09_1_0395,anesthesia
09_1_0396,anesthesia
09_1_0397,anesthesia
09_1_0398,anesthesia
09_1_0399,anesthesia
09_1_0400,anesthesia
09_1_0401,anesthesia
09_1_0402,anesthesia
09_1_0403,anesthesia
09_1_0404,anesthesia
09_1_0405,anesthesia
09_1_0406,anesthesia
09_1_0407,anesthesia
09_1_0408,anesthesia
09_1_0409,anesthesia
09_1_0410,anesthesia
09_1_0411,anesthesia
09_1_0412,anesthesia
09_1_0413,anesthesia
09_1_0414,anesthesia
09_1_0415,anesthesia
09_1_0416,anesthesia
09_1_0417,anesthesia
09_1_0418,anesthesia
09_1_0419,anesthesia
09_1_0420,anesthesia
09_1_0421,anesthesia
09_1_0422,anesthesia
09_1_0423,anesthesia
09_1_0424,anesthesia
09_1_0425,anesthesia
09_1_0426,anesthesia
09_1_0427,anesthesia
09_1_0428,anesthesia
09_1_0429,anesthesia
