Frame,Phase
08_1_0159,design
08_1_0160,design
08_1_0161,design
08_1_0162,design
08_1_0163,design
08_1_0164,design
08_1_0165,design
08_1_0166,design
08_1_0167,design
08_1_0168,design
08_1_0169,design
08_1_0170,design
08_1_0171,design
08_1_0172,design
08_1_0173,design
08_1_0174,design
08_1_0175,design
08_1_0176,design
08_1_0177,design
08_1_0178,design
08_1_0179,design
08_1_0180,design
08_1_0181,design
08_1_0182,design
08_1_0183,design
08_1_0184,design
08_1_0185,design
08_1_0221,anesthesia
08_1_0222,anesthesia
08_1_0223,anesthesia
08_1_0224,anesthesia
08_1_0225,anesthesia
08_1_0226,anesthesia
08_1_0227,anesthesia
08_1_0228,anesthesia
08_1_0229,anesthesia
08_1_0230,anesthesia
08_1_0231,anesthesia
08_1_0232,anesthesia
08_1_0233,anesthesia
08_1_0234,anesthesia
08_1_0235,anesthesia
08_1_0236,anesthesia
08_1_0237,anesthesia
08_1_0238,anesthesia
08_1_0239,anesthesia
08_1_0240,anesthesia
08_1_0241,anesthesia
08_1_0242,anesthesia
08_1_0243,anesthesia
08_1_0244,anesthesia
08_1_0245,anesthesia
08_1_0246,anesthesia
08_1_0247,anesthesia
08_1_0248,anesthesia
08_1_0249,anesthesia
08_1_0250,anesthesia
08_1_0251,anesthesia
08_1_0252,anesthesia
08_1_0253,anesthesia
08_1_0254,anesthesia
08_1_0255,anesthesia
08_1_0317,incision
08_1_0318,incision
08_1_0319,incision
08_1_0320,incision
08_1_0321,incision
08_1_0322,incision
08_1_0323,incision
08_1_0324,incision
08_1_0325,incision
08_1_0326,incision
08_1_0327,incision
08_1_0328,incision
08_1_0329,incision
08_1_0330,incision
08_1_0331,incision
08_1_0332,incision
08_1_0333,incision
08_1_0334,incision
08_1_0335,incision
08_1_0336,incision
08_1_0337,incision
08_1_0338,incision
08_1_0339,incision
08_1_0340,incision
08_1_0341,incision
08_1_0342,incision
08_1_0343,incision
08_1_0344,incision
08_1_0345,incision
08_1_0346,incision
08_1_0347,incision
08_1_0348,incision
08_1_0349,incision
08_1_0350,incision
08_1_0351,incision
08_1_0352,incision
08_1_0353,incision
08_1_0354,incision
08_1_0355,incision
08_1_0358,dissection
08_1_0359,dissection
08_1_0360,dissection
08_1_0370,hemostasis
08_1_0371,hemostasis
08_1_0372,hemostasis
08_1_0373,hemostasis
08_1_0374,hemostasis
08_1_0375,hemostasis
08_1_0376,hemostasis
08_1_0377,hemostasis
08_1_0378,hemostasis
08_1_0379,hemostasis
08_1_0380,hemostasis
08_1_0381,hemostasis
08_1_0382,hemostasis
08_1_0383,hemostasis
08_1_0384,hemostasis
08_1_0385,hemostasis
08_1_0386,hemostasis
08_1_0387,hemostasis
08_1_0388,hemostasis
08_1_0389,hemostasis
08_1_0390,hemostasis
08_1_0391,hemostasis
08_1_0392,hemostasis
08_1_0393,dissection
08_1_0394,dissection
08_1_0395,dissection
08_1_0396,dissection
08_1_0397,dissection
08_1_0398,dissection
08_1_0399,dissection
08_1_0400,dissection
08_1_0401,dissection
08_1_0402,dissection
08_1_0403,dissection
08_1_0404,dissection
08_1_0405,dissection
08_1_0406,dissection
08_1_0407,dissection
08_1_0408,dissection
08_1_0409,dissection
08_1_0410,dissection
08_1_0411,dissection
08_1_0412,dissection
08_1_0413,dissection
08_1_0414,dissection
08_1_0415,dissection
08_1_0416,dissection
08_1_0417,dissection
08_1_0418,dissection
08_1_0419,dissection
08_1_0420,dissection
08_1_0421,dissection
08_1_0422,dissection
08_1_0423,dissection
08_1_0424,dissection
08_1_0425,dissection
08_1_0426,dissection
08_1_0427,dissection
08_1_0428,dissection
08_1_0429,dissection
08_1_0430,dissection
08_1_0431,dissection
08_1_0432,dissection
08_1_0433,dissection
08_1_0434,dissection
08_1_0435,dissection
08_1_0436,dissection
08_1_0437,dissection
08_1_0438,dissection
08_1_0439,dissection
08_1_0440,dissection
08_1_0441,dissection
08_1_0442,dissection
08_1_0443,dissection
08_1_0444,dissection
08_1_0445,dissection
08_1_0446,dissection
08_1_0447,dissection
08_1_0448,dissection
08_1_0449,dissection
08_1_0450,dissection
08_1_0451,dissection
08_1_0452,dissection
08_1_0453,dissection
08_1_0454,dissection
08_1_0455,dissection
08_1_0456,dissection
08_1_0468,dissection
08_1_0469,dissection
08_1_0470,dissection
08_1_0471,dissection
08_1_0472,dissection
08_1_0473,dissection
08_1_0474,dissection
08_1_0475,dissection
08_1_0476,dissection
08_1_0477,dissection
08_1_0478,dissection
08_1_0479,dissection
08_1_0480,dissection
08_1_0481,dissection
08_1_0482,dissection
08_1_0483,dissection
08_1_0484,dissection
08_1_0485,dissection
08_1_0486,dissection
08_1_0487,dissection
08_1_0488,dissection
08_1_0489,dissection
08_1_0490,dissection
08_1_0491,dissection
08_1_0492,dissection
08_1_0493,dissection
08_1_0494,dissection
08_1_0495,dissection
08_1_0496,dissection
08_1_0497,dissection
08_1_0498,dissection
08_1_0499,dissection
08_1_0500,dissection
08_1_0501,dissection
08_1_0502,dissection
08_1_0503,dissection
08_1_0504,dissection
08_1_0505,dissection
08_1_0506,dissection
08_1_0507,dissection
08_1_0508,dissection
08_1_0509,dissection
08_1_0510,dissection
08_1_0511,dissection
08_1_0512,dissection
08_1_0513,dissection
08_1_0514,dissection
08_1_0515,dissection
08_1_0516,dissection
08_1_0517,dissection
08_1_0518,dissection
08_1_0519,dissection
08_1_0520,dissection
08_1_0521,dissection
08_1_0522,dissection
08_1_0523,dissection
08_1_0524,dissection
08_1_0525,dissection
08_1_0526,dissection
08_1_0527,dissection
08_1_0528,dissection
08_1_0529,dissection
08_1_0530,dissection
08_1_0531,dissection
08_1_0532,dissection
08_1_0533,dissection
08_1_0534,dissection
08_1_0535,dissection
08_1_0536,dissection
08_1_0537,dissection
08_1_0538,dissection
08_1_0539,dissection
08_1_0540,dissection
08_1_0541,dissection
08_1_0542,dissection
08_1_0543,dissection
08_1_0544,dissection
08_1_0545,dissection
08_1_0546,dissection
08_1_0547,dissection
08_1_0548,dissection
08_1_0549,dissection
08_1_0550,dissection
08_1_0551,dissection
08_1_0552,dissection
08_1_0553,dissection
08_1_0554,dissection
08_1_0555,dissection
08_1_0556,dissection
08_1_0557,dissection
08_1_0558,dissection
08_1_0559,dissection
08_1_0560,dissection
08_1_0561,dissection
08_1_0562,dissection
08_1_0563,dissection
08_1_0564,dissection
08_1_0565,dissection
08_1_0566,dissection
08_1_0567,dissection
08_1_0568,dissection
08_1_0569,dissection
08_1_0570,dissection
08_1_0571,dissection
08_1_0572,dissection
08_1_0573,dissection
08_1_0574,dissection
08_1_0575,dissection
08_1_0576,dissection
08_1_0577,dissection
08_1_0578,dissection
08_1_0579,dissection
08_1_0580,dissection
08_1_0581,dissection
08_1_0582,dissection
08_1_0583,dissection
08_1_0584,dissection
08_1_0585,dissection
08_1_0586,dissection
08_1_0587,dissection
08_1_0588,dissection
08_1_0589,dissection
08_1_0590,dissection
08_1_0591,dissection
08_1_0592,dissection
08_1_0593,dissection
08_1_0594,dissection
08_1_0595,dissection
08_1_0596,dissection
08_1_0597,dissection
08_1_0598,dissection
08_1_0599,dissection
08_1_0600,dissection
08_1_0601,dissection
08_1_0602,dissection
08_1_0603,dissection
08_1_0604,dissection
08_1_0605,dissection
08_1_0606,dissection
08_1_0607,dissection
08_1_0608,dissection
08_1_0609,dissection
08_1_0610,dissection
08_1_0611,dissection
08_1_0612,dissection
08_1_0613,dissection
08_1_0614,dissection
08_1_0615,dissection
08_1_0616,dissection
08_1_0617,dissection
08_1_0618,dissection
08_1_0619,dissection
08_1_0620,dissection
08_1_0621,dissection
08_1_0622,dissection
08_1_0623,dissection
08_1_0624,dissection
08_1_0625,dissection
08_1_0626,dissection
08_1_0627,dissection
08_1_0628,dissection
08_1_0629,dissection
08_1_0630,dissection
08_1_0631,dissection
08_1_0632,dissection
08_1_0633,dissection
08_1_0635,incision
08_1_0636,incision
08_1_0637,incision
08_1_0638,incision
08_1_0639,incision
08_1_0640,incision
08_1_0641,incision
08_1_0642,incision
08_1_0643,incision
08_1_0644,incision
08_1_0645,incision
08_1_0646,incision
08_1_0647,incision
08_1_0648,incision
08_1_0649,incision
08_1_0650,incision
08_1_0651,incision
08_1_0652,incision
08_1_0653,incision
08_1_0654,incision
08_1_0655,incision
08_1_0656,incision
08_1_0657,incision
08_1_0658,incision
08_1_0659,incision
08_1_0660,incision
08_1_0661,incision
08_1_0662,incision
08_1_0663,incision
08_1_0664,incision
08_1_0665,incision
08_1_0666,incision
08_1_0667,incision
08_1_0668,incision
08_1_0669,incision
08_1_0670,incision
08_1_0671,incision
08_1_0672,incision
08_1_0673,incision
08_1_0674,incision
08_1_0675,incision
08_1_0678,dissection
08_1_0679,dissection
08_1_0680,dissection
08_1_0681,dissection
08_1_0682,dissection
08_1_0683,dissection
08_1_0684,dissection
08_1_0685,dissection
08_1_0686,dissection
08_1_0687,dissection
08_1_0688,dissection
08_1_0689,dissection
08_1_0690,dissection
08_1_0691,dissection
08_1_0692,dissection
08_1_0693,dissection
08_1_0694,dissection
08_1_0695,dissection
08_1_0696,dissection
08_1_0697,dissection
08_1_0698,dissection
08_1_0699,dissection
08_1_0700,dissection
08_1_0701,dissection
08_1_0702,dissection
08_1_0703,dissection
08_1_0704,dissection
08_1_0705,dissection
08_1_0706,dissection
08_1_0707,dissection
08_1_0708,dissection
08_1_0709,dissection
08_1_0710,dissection
08_1_0711,dissection
08_1_0712,dissection
08_1_0713,dissection
08_1_0714,dissection
08_1_0715,dissection
08_1_0716,dissection
08_1_0717,dissection
08_1_0718,dissection
08_1_0719,dissection
08_1_0720,dissection
08_1_0721,dissection
08_1_0722,dissection
08_1_0723,dissection
08_1_0724,dissection
08_1_0725,dissection
08_1_0726,dissection
08_1_0727,dissection
08_1_0728,dissection
08_1_0729,dissection
08_1_0730,dissection
08_1_0731,dissection
08_1_0732,dissection
08_1_0733,dissection
08_1_0734,dissection
08_1_0735,dissection
08_1_0736,dissection
08_1_0737,dissection
08_1_0738,dissection
08_1_0739,dissection
08_1_0740,dissection
08_1_0741,dissection
08_1_0742,dissection
08_1_0743,dissection
08_1_0744,dissection
08_1_0745,dissection
08_1_0746,dissection
08_1_0747,dissection
08_1_0748,dissection
08_1_0749,dissection
08_1_0750,dissection
08_1_0751,dissection
08_1_0752,dissection
08_1_0753,dissection
08_1_0754,dissection
08_1_0755,dissection
08_1_0756,dissection
08_1_0757,dissection
08_1_0758,dissection
08_1_0759,dissection
08_1_0762,incision
08_1_0763,incision
08_1_0764,incision
08_1_0765,incision
08_1_0766,incision
08_1_0767,incision
08_1_0768,incision
08_1_0772,dissection
08_1_0773,dissection
08_1_0774,dissection
08_1_0775,dissection
08_1_0776,dissection
08_1_0777,dissection
08_1_0778,dissection
08_1_0779,dissection
08_1_0780,dissection
08_1_0781,dissection
08_1_0782,dissection
08_1_0783,dissection
08_1_0784,dissection
08_1_0785,dissection
08_1_0786,dissection
08_1_0787,dissection
08_1_0788,dissection
08_1_0791,incision
08_1_0792,incision
08_1_0793,incision
08_1_0794,incision
08_1_0795,incision
08_1_0796,incision
08_1_0797,incision
08_1_0798,incision
08_1_0799,incision
08_1_0800,incision
08_1_0804,dissection
08_1_0805,dissection
08_1_0806,dissection
08_1_0807,dissection
08_1_0808,dissection
08_1_0809,dissection
08_1_0810,dissection
08_1_0811,dissection
08_1_0812,dissection
08_1_0813,dissection
08_1_0814,dissection
08_1_0815,dissection
08_1_0816,dissection
08_1_0817,dissection
08_1_0818,dissection
08_1_0819,dissection
08_1_0820,dissection
08_1_0821,dissection
08_1_0822,dissection
08_1_0823,dissection
08_1_0824,dissection
08_1_0825,dissection
08_1_0826,dissection
08_1_0827,dissection
08_1_0828,dissection
08_1_0829,dissection
08_1_0830,dissection
08_1_0831,dissection
08_1_0832,dissection
08_1_0833,dissection
08_1_0834,dissection
08_1_0835,dissection
08_1_0836,dissection
08_1_0837,dissection
08_1_0838,dissection
08_1_0839,dissection
08_1_0840,dissection
08_1_0841,dissection
08_1_0842,dissection
08_1_0843,dissection
08_1_0844,dissection
08_1_0845,dissection
08_1_0846,dissection
08_1_0847,dissection
08_1_0848,dissection
08_1_0849,dissection
08_1_0850,dissection
08_1_0851,dissection
08_1_0852,dissection
08_1_0853,dissection
08_1_0854,dissection
08_1_0855,dissection
08_1_0856,dissection
08_1_0857,dissection
08_1_0858,dissection
08_1_0859,dissection
08_1_0860,dissection
08_1_0861,dissection
08_1_0862,dissection
08_1_0863,dissection
08_1_0864,dissection
08_1_0865,dissection
08_1_0866,dissection
08_1_0867,dissection
08_1_0868,dissection
08_1_0869,dissection
08_1_0870,dissection
08_1_0871,dissection
08_1_0872,dissection
08_1_0873,dissection
08_1_0874,dissection
08_1_0875,dissection
08_1_0876,dissection
08_1_0877,dissection
08_1_0878,dissection
08_1_0879,dissection
08_1_0880,dissection
08_1_0881,dissection
08_1_0882,dissection
08_1_0986,dissection
08_1_0987,dissection
08_1_0988,dissection
08_1_0989,dissection
08_1_0990,dissection
08_1_0991,dissection
08_1_1003,hemostasis
08_1_1004,hemostasis
08_1_1005,hemostasis
08_1_1006,hemostasis
08_1_1007,hemostasis
08_1_1008,hemostasis
08_1_1009,hemostasis
08_1_1010,hemostasis
08_1_1011,hemostasis
08_1_1012,hemostasis
08_1_1013,hemostasis
08_1_1014,hemostasis
08_1_1015,hemostasis
08_1_1017,dissection
08_1_1018,dissection
08_1_1019,dissection
08_1_1020,dissection
08_1_1021,dissection
08_1_1022,dissection
08_1_1023,dissection
08_1_1026,incision
08_1_1027,incision
08_1_1028,incision
08_1_1029,incision
08_1_1030,incision
08_1_1031,incision
08_1_1032,incision
08_1_1033,incision
08_1_1034,incision
08_1_1035,incision
08_1_1036,incision
08_1_1037,incision
08_1_1038,incision
08_1_1039,incision
08_1_1040,dissection
08_1_1041,dissection
08_1_1042,dissection
08_1_1043,dissection
08_1_1044,dissection
08_1_1045,dissection
08_1_1046,dissection
08_1_1047,dissection
08_1_1048,dissection
08_1_1049,dissection
08_1_1050,dissection
08_1_1051,dissection
08_1_1052,dissection
08_1_1053,dissection
08_1_1054,dissection
08_1_1055,dissection
08_1_1056,dissection
08_1_1057,dissection
08_1_1058,dissection
08_1_1059,dissection
08_1_1060,dissection
08_1_1061,dissection
08_1_1062,dissection
08_1_1063,dissection
08_1_1064,dissection
08_1_1065,dissection
08_1_1066,dissection
08_1_1067,dissection
08_1_1068,dissection
08_1_1069,dissection
08_1_1070,dissection
08_1_1071,dissection
08_1_1072,dissection
08_1_1074,incision
08_1_1075,incision
08_1_1076,incision
08_1_1077,incision
08_1_1078,incision
08_1_1079,incision
08_1_1080,incision
08_1_1081,incision
08_1_1082,incision
08_1_1083,incision
08_1_1084,incision
08_1_1085,incision
08_1_1086,dissection
08_1_1087,dissection
08_1_1088,dissection
08_1_1089,dissection
08_1_1090,dissection
08_1_1091,dissection
08_1_1092,dissection
08_1_1093,dissection
08_1_1094,dissection
08_1_1095,dissection
08_1_1096,dissection
08_1_1097,dissection
08_1_1098,dissection
08_1_1099,dissection
08_1_1100,dissection
08_1_1101,dissection
08_1_1102,dissection
08_1_1103,dissection
08_1_1104,dissection
08_1_1105,dissection
08_1_1106,dissection
08_1_1107,dissection
08_1_1108,dissection
08_1_1109,dissection
08_1_1110,dissection
08_1_1111,dissection
08_1_1112,dissection
08_1_1113,dissection
08_1_1116,hemostasis
08_1_1117,hemostasis
08_1_1118,hemostasis
08_1_1119,hemostasis
08_1_1121,dissection
08_1_1122,dissection
08_1_1123,dissection
08_1_1124,dissection
08_1_1125,dissection
08_1_1126,dissection
08_1_1127,dissection
08_1_1128,dissection
08_1_1129,dissection
08_1_1130,dissection
08_1_1131,dissection
08_1_1132,dissection
08_1_1133,dissection
08_1_1134,dissection
08_1_1135,dissection
08_1_1136,dissection
08_1_1137,dissection
08_1_1138,dissection
08_1_1139,dissection
08_1_1140,dissection
08_1_1141,dissection
08_1_1142,dissection
08_1_1143,dissection
08_1_1144,dissection
08_1_1145,dissection
08_1_1146,dissection
08_1_1147,dissection
08_1_1149,hemostasis
08_1_1150,hemostasis
08_1_1151,hemostasis
08_1_1152,hemostasis
08_1_1153,hemostasis
08_1_1156,dissection
08_1_1157,dissection
08_1_1158,dissection
08_1_1159,dissection
08_1_1160,dissection
08_1_1161,dissection
08_1_1162,dissection
08_1_1163,dissection
08_1_1164,dissection
08_1_1165,dissection
08_1_1166,dissection
08_1_1167,dissection
08_1_1168,dissection
08_1_1169,dissection
08_1_1170,dissection
08_1_1171,dissection
08_1_1172,dissection
08_1_1173,dissection
08_1_1174,dissection
08_1_1175,dissection
08_1_1176,dissection
08_1_1177,dissection
08_1_1178,dissection
08_1_1179,dissection
08_1_1180,dissection
08_1_1181,dissection
08_1_1182,dissection
08_1_1183,dissection
08_1_1184,dissection
08_1_1185,dissection
08_1_1186,dissection
08_1_1187,dissection
08_1_1188,dissection
08_1_1189,dissection
08_1_1190,dissection
08_1_1191,dissection
08_1_1192,dissection
08_1_1193,dissection
08_1_1194,dissection
08_1_1195,dissection
08_1_1196,dissection
08_1_1197,dissection
08_1_1198,dissection
08_1_1199,dissection
08_1_1200,dissection
08_1_1201,dissection
08_1_1202,dissection
08_1_1203,dissection
08_1_1204,dissection
08_1_1205,dissection
08_1_1206,dissection
08_1_1207,dissection
08_1_1208,dissection
08_1_1209,dissection
08_1_1210,dissection
08_1_1211,dissection
08_1_1212,dissection
08_1_1213,dissection
08_1_1214,dissection
08_1_1215,dissection
08_1_1216,dissection
08_1_1217,dissection
08_1_1218,dissection
08_1_1219,dissection
