Frame,Phase
07_2_0048,closure
07_2_0049,closure
07_2_0050,closure
07_2_0051,closure
07_2_0052,closure
07_2_0053,closure
07_2_0054,closure
07_2_0055,closure
07_2_0056,closure
07_2_0057,closure
07_2_0058,closure
07_2_0059,closure
07_2_0060,closure
07_2_0061,closure
07_2_0062,closure
07_2_0063,closure
07_2_0064,closure
07_2_0065,closure
07_2_0066,closure
07_2_0067,closure
07_2_0068,closure
07_2_0069,closure
07_2_0070,closure
07_2_0071,closure
07_2_0072,closure
07_2_0073,closure
07_2_0075,closure
07_2_0076,closure
07_2_0078,closure
07_2_0079,closure
07_2_0080,closure
07_2_0081,closure
07_2_0082,closure
07_2_0083,closure
07_2_0084,closure
07_2_0085,closure
07_2_0086,closure
07_2_0087,closure
07_2_0088,closure
07_2_0089,closure
07_2_0090,closure
07_2_0091,closure
07_2_0092,closure
07_2_0093,closure
07_2_0095,closure
07_2_0096,closure
07_2_0097,closure
07_2_0098,closure
07_2_0099,closure
07_2_0100,closure
07_2_0101,closure
07_2_0102,closure
07_2_0103,closure
07_2_0104,closure
07_2_0105,closure
07_2_0106,closure
07_2_0107,closure
07_2_0108,closure
07_2_0109,closure
07_2_0110,closure
07_2_0111,closure
07_2_0112,closure
07_2_0113,closure
07_2_0114,closure
07_2_0115,closure
07_2_0116,closure
07_2_0117,closure
07_2_0118,closure
07_2_0119,closure
07_2_0120,closure
07_2_0121,closure
07_2_0122,closure
07_2_0123,closure
07_2_0124,closure
07_2_0125,closure
07_2_0126,closure
07_2_0127,closure
07_2_0128,closure
07_2_0129,closure
07_2_0130,closure
07_2_0131,closure
07_2_0132,closure
07_2_0133,closure
07_2_0134,closure
07_2_0135,closure
07_2_0136,closure
07_2_0138,closure
07_2_0139,closure
07_2_0140,closure
07_2_0141,closure
07_2_0142,closure
07_2_0143,closure
07_2_0144,closure
07_2_0145,closure
07_2_0146,closure
07_2_0147,closure
07_2_0148,closure
07_2_0149,closure
07_2_0150,closure
07_2_0151,closure
07_2_0152,closure
07_2_0153,closure
07_2_0154,closure
07_2_0155,closure
07_2_0156,closure
07_2_0157,closure
07_2_0158,closure
07_2_0159,closure
07_2_0160,closure
07_2_0161,closure
07_2_0162,closure
07_2_0163,closure
07_2_0164,closure
07_2_0165,closure
07_2_0166,closure
07_2_0167,closure
07_2_0168,closure
07_2_0169,closure
07_2_0171,closure
07_2_0172,closure
07_2_0174,closure
07_2_0175,closure
07_2_0176,closure
07_2_0177,closure
07_2_0178,closure
07_2_0179,closure
07_2_0180,closure
07_2_0181,closure
07_2_0182,closure
07_2_0183,closure
07_2_0184,closure
07_2_0185,closure
07_2_0186,closure
07_2_0187,closure
07_2_0188,closure
07_2_0189,closure
07_2_0190,closure
07_2_0191,closure
07_2_0192,closure
07_2_0193,closure
07_2_0194,closure
07_2_0195,closure
07_2_0196,closure
07_2_0197,closure
07_2_0198,closure
07_2_0199,closure
07_2_0200,closure
07_2_0201,closure
07_2_0202,closure
07_2_0203,closure
07_2_0204,closure
07_2_0205,closure
07_2_0206,closure
07_2_0207,closure
07_2_0208,closure
07_2_0210,closure
07_2_0211,closure
07_2_0212,closure
07_2_0213,closure
07_2_0214,closure
07_2_0215,closure
07_2_0216,closure
07_2_0217,closure
07_2_0218,closure
07_2_0219,closure
07_2_0220,closure
07_2_0221,closure
07_2_0222,closure
07_2_0224,closure
07_2_0225,closure
07_2_0226,closure
07_2_0227,closure
07_2_0228,closure
07_2_0229,closure
07_2_0230,closure
07_2_0231,closure
07_2_0232,closure
07_2_0233,closure
07_2_0234,closure
07_2_0235,closure
07_2_0238,closure
07_2_0240,closure
07_2_0241,closure
07_2_0242,closure
07_2_0243,closure
07_2_0244,closure
07_2_0245,closure
07_2_0246,closure
07_2_0247,closure
07_2_0248,closure
07_2_0249,closure
07_2_0250,closure
07_2_0251,closure
07_2_0252,closure
07_2_0253,closure
07_2_0254,closure
07_2_0255,closure
07_2_0256,closure
07_2_0257,closure
07_2_0258,closure
07_2_0259,closure
07_2_0260,closure
07_2_0261,closure
07_2_0262,closure
07_2_0263,closure
07_2_0264,closure
07_2_0265,closure
07_2_0266,closure
07_2_0267,closure
07_2_0268,closure
07_2_0269,closure
07_2_0270,closure
07_2_0271,closure
07_2_0272,closure
07_2_0273,closure
07_2_0274,closure
07_2_0276,closure
07_2_0277,closure
07_2_0278,closure
07_2_0279,closure
07_2_0280,closure
07_2_0281,closure
07_2_0282,closure
07_2_0283,closure
07_2_0284,closure
07_2_0285,closure
07_2_0286,closure
07_2_0289,closure
07_2_0290,closure
07_2_0291,closure
07_2_0292,closure
07_2_0293,closure
07_2_0302,closure
07_2_0303,closure
07_2_0304,closure
07_2_0305,closure
07_2_0306,closure
07_2_0307,closure
07_2_0308,closure
07_2_0309,closure
07_2_0310,closure
07_2_0311,closure
07_2_0312,closure
07_2_0313,closure
07_2_0314,closure
07_2_0315,closure
07_2_0316,closure
07_2_0317,closure
07_2_0319,closure
07_2_0331,closure
07_2_0332,closure
07_2_0333,closure
07_2_0334,closure
07_2_0335,closure
07_2_0336,closure
07_2_0337,closure
07_2_0338,closure
07_2_0339,closure
07_2_0340,closure
07_2_0341,closure
07_2_0342,closure
07_2_0343,closure
07_2_0344,closure
07_2_0345,closure
07_2_0346,closure
07_2_0347,closure
07_2_0348,closure
07_2_0349,closure
07_2_0351,closure
07_2_0352,closure
07_2_0353,closure
07_2_0354,closure
07_2_0355,closure
07_2_0356,closure
07_2_0357,closure
07_2_0358,closure
07_2_0359,closure
07_2_0360,closure
07_2_0361,closure
07_2_0362,closure
07_2_0363,closure
07_2_0364,closure
07_2_0365,closure
07_2_0366,closure
07_2_0367,closure
07_2_0368,closure
07_2_0369,closure
07_2_0370,closure
07_2_0371,closure
07_2_0372,closure
07_2_0373,closure
07_2_0374,closure
07_2_0375,closure
07_2_0376,closure
07_2_0377,closure
07_2_0379,closure
07_2_0380,closure
07_2_0381,closure
07_2_0383,closure
07_2_0384,closure
07_2_0385,closure
07_2_0386,closure
07_2_0387,closure
07_2_0388,closure
07_2_0389,closure
07_2_0390,closure
07_2_0391,closure
07_2_0392,closure
07_2_0393,closure
07_2_0394,closure
07_2_0397,closure
07_2_0398,closure
07_2_0399,closure
07_2_0400,closure
07_2_0401,closure
07_2_0402,closure
