Frame,Phase
03_3_0001,closure
03_3_0002,closure
03_3_0003,closure
03_3_0004,closure
03_3_0005,closure
03_3_0006,closure
03_3_0007,closure
03_3_0008,closure
03_3_0009,closure
03_3_0010,closure
03_3_0011,closure
03_3_0012,closure
03_3_0013,closure
03_3_0014,closure
03_3_0015,closure
03_3_0016,closure
03_3_0017,closure
03_3_0018,closure
03_3_0019,closure
03_3_0020,closure
03_3_0021,closure
03_3_0022,closure
03_3_0023,closure
03_3_0024,closure
03_3_0025,closure
03_3_0026,closure
03_3_0027,closure
03_3_0028,closure
03_3_0029,closure
03_3_0030,closure
03_3_0034,closure
03_3_0035,closure
03_3_0036,closure
03_3_0101,irrigation
03_3_0102,irrigation
03_3_0103,irrigation
03_3_0104,irrigation
03_3_0105,irrigation
03_3_0106,irrigation
03_3_0107,irrigation
03_3_0108,irrigation
03_3_0109,irrigation
03_3_0110,irrigation
03_3_0113,closure
03_3_0114,closure
03_3_0115,closure
03_3_0116,closure
03_3_0117,closure
03_3_0118,closure
03_3_0119,closure
03_3_0120,closure
03_3_0121,closure
03_3_0122,closure
03_3_0123,closure
03_3_0124,closure
03_3_0125,closure
03_3_0126,closure
03_3_0127,closure
03_3_0128,closure
03_3_0129,closure
03_3_0130,closure
03_3_0131,closure
03_3_0134,closure
03_3_0135,closure
03_3_0136,closure
03_3_0137,closure
03_3_0138,closure
03_3_0139,closure
03_3_0140,closure
03_3_0141,closure
03_3_0142,closure
03_3_0143,closure
03_3_0144,closure
03_3_0145,closure
03_3_0146,closure
03_3_0147,closure
03_3_0148,closure
03_3_0149,closure
03_3_0150,closure
03_3_0151,closure
03_3_0152,closure
03_3_0153,closure
03_3_0154,closure
03_3_0155,closure
03_3_0156,closure
03_3_0159,closure
03_3_0160,closure
03_3_0161,closure
03_3_0162,closure
03_3_0163,closure
03_3_0164,closure
03_3_0165,closure
03_3_0166,closure
03_3_0167,closure
03_3_0168,closure
03_3_0169,closure
03_3_0170,closure
03_3_0171,closure
03_3_0172,closure
03_3_0173,closure
03_3_0174,closure
03_3_0175,closure
03_3_0176,closure
03_3_0177,closure
03_3_0178,closure
03_3_0181,closure
03_3_0182,closure
03_3_0183,closure
03_3_0184,closure
03_3_0185,closure
03_3_0186,closure
03_3_0187,closure
03_3_0188,closure
03_3_0189,closure
03_3_0190,closure
03_3_0191,closure
03_3_0192,closure
03_3_0193,closure
03_3_0194,closure
03_3_0195,closure
03_3_0196,closure
03_3_0197,closure
03_3_0198,closure
03_3_0199,closure
03_3_0200,closure
03_3_0201,closure
03_3_0202,closure
03_3_0203,closure
03_3_0204,closure
03_3_0205,closure
03_3_0206,closure
03_3_0207,closure
03_3_0208,closure
03_3_0209,closure
03_3_0210,closure
03_3_0211,closure
03_3_0212,closure
03_3_0213,closure
03_3_0214,closure
03_3_0215,closure
03_3_0216,closure
03_3_0217,closure
03_3_0218,closure
03_3_0219,closure
03_3_0220,closure
03_3_0221,closure
03_3_0222,closure
03_3_0223,closure
03_3_0224,closure
03_3_0225,closure
03_3_0226,closure
03_3_0227,closure
03_3_0229,closure
03_3_0230,closure
03_3_0231,closure
03_3_0232,closure
03_3_0233,closure
03_3_0234,closure
03_3_0235,closure
03_3_0236,closure
03_3_0237,closure
03_3_0238,closure
03_3_0239,closure
03_3_0240,closure
03_3_0241,closure
03_3_0242,closure
03_3_0243,closure
03_3_0244,closure
