Frame,Phase
01_1_0001,disinfection
01_1_0002,disinfection
01_1_0003,disinfection
01_1_0004,disinfection
01_1_0005,disinfection
01_1_0006,disinfection
01_1_0007,disinfection
01_1_0008,disinfection
01_1_0009,disinfection
01_1_0010,disinfection
01_1_0011,disinfection
01_1_0012,disinfection
01_1_0013,disinfection
01_1_0014,disinfection
01_1_0015,disinfection
01_1_0016,disinfection
01_1_0122,design
01_1_0123,design
01_1_0124,design
01_1_0125,design
01_1_0126,design
01_1_0127,design
01_1_0128,design
01_1_0129,design
01_1_0130,design
01_1_0131,design
01_1_0132,design
01_1_0133,design
01_1_0134,design
01_1_0135,design
01_1_0136,design
01_1_0137,design
01_1_0138,design
01_1_0139,design
01_1_0140,design
01_1_0141,design
01_1_0142,design
01_1_0143,design
01_1_0144,design
01_1_0145,design
01_1_0146,design
01_1_0147,design
01_1_0148,design
01_1_0149,design
01_1_0150,design
01_1_0151,design
01_1_0152,design
01_1_0153,design
01_1_0154,design
01_1_0155,design
01_1_0156,design
01_1_0157,design
01_1_0158,design
01_1_0159,design
01_1_0160,design
01_1_0161,design
01_1_0162,design
01_1_0163,design
01_1_0164,design
01_1_0165,design
01_1_0166,design
01_1_0229,anesthesia
01_1_0230,anesthesia
01_1_0240,anesthesia
01_1_0241,anesthesia
01_1_0242,anesthesia
01_1_0243,anesthesia
01_1_0244,anesthesia
01_1_0245,anesthesia
01_1_0246,anesthesia
01_1_0247,anesthesia
01_1_0248,anesthesia
01_1_0249,anesthesia
01_1_0250,anesthesia
01_1_0251,anesthesia
01_1_0252,anesthesia
01_1_0253,anesthesia
01_1_0254,anesthesia
01_1_0255,anesthesia
01_1_0256,anesthesia
01_1_0257,anesthesia
01_1_0258,anesthesia
01_1_0259,anesthesia
01_1_0260,anesthesia
01_1_0261,anesthesia
01_1_0262,anesthesia
01_1_0263,anesthesia
01_1_0264,anesthesia
01_1_0265,anesthesia
01_1_0266,anesthesia
01_1_0267,anesthesia
01_1_0268,anesthesia
01_1_0269,anesthesia
01_1_0270,anesthesia
01_1_0271,anesthesia
01_1_0272,anesthesia
01_1_0273,anesthesia
01_1_0293,incision
01_1_0294,incision
01_1_0296,incision
01_1_0297,incision
01_1_0298,incision
01_1_0299,incision
01_1_0300,incision
01_1_0301,incision
01_1_0302,incision
01_1_0303,incision
01_1_0304,incision
01_1_0305,incision
01_1_0306,incision
01_1_0307,incision
01_1_0308,incision
01_1_0309,incision
01_1_0310,incision
01_1_0311,incision
01_1_0312,incision
01_1_0313,incision
01_1_0314,incision
01_1_0315,incision
01_1_0316,incision
01_1_0317,incision
01_1_0318,incision
01_1_0319,incision
01_1_0320,incision
01_1_0321,incision
01_1_0322,incision
01_1_0323,incision
01_1_0324,incision
01_1_0325,incision
01_1_0326,incision
01_1_0327,incision
01_1_0328,incision
01_1_0329,incision
01_1_0330,incision
01_1_0331,incision
01_1_0332,incision
01_1_0333,incision
01_1_0334,incision
01_1_0337,incision
01_1_0338,incision
01_1_0339,incision
01_1_0340,incision
01_1_0341,incision
01_1_0342,incision
01_1_0343,incision
01_1_0344,incision
01_1_0345,incision
01_1_0346,incision
01_1_0347,incision
01_1_0348,incision
01_1_0349,incision
01_1_0350,incision
01_1_0351,incision
01_1_0352,incision
01_1_0360,dissection
01_1_0361,dissection
01_1_0362,dissection
01_1_0363,dissection
01_1_0364,dissection
01_1_0365,dissection
01_1_0366,dissection
01_1_0367,dissection
01_1_0368,dissection
01_1_0369,dissection
01_1_0370,dissection
01_1_0371,dissection
01_1_0372,dissection
01_1_0373,dissection
01_1_0374,dissection
01_1_0375,dissection
01_1_0376,dissection
01_1_0377,dissection
01_1_0378,dissection
01_1_0379,dissection
01_1_0380,dissection
01_1_0381,dissection
01_1_0382,hemostasis
01_1_0383,hemostasis
01_1_0384,hemostasis
01_1_0385,hemostasis
01_1_0386,hemostasis
01_1_0387,hemostasis
01_1_0388,hemostasis
01_1_0389,hemostasis
01_1_0390,hemostasis
01_1_0391,hemostasis
01_1_0393,hemostasis
01_1_0394,hemostasis
01_1_0395,hemostasis
01_1_0396,hemostasis
01_1_0397,hemostasis
01_1_0398,hemostasis
01_1_0399,hemostasis
01_1_0400,hemostasis
01_1_0401,hemostasis
01_1_0402,hemostasis
01_1_0403,hemostasis
01_1_0404,hemostasis
01_1_0405,hemostasis
01_1_0406,hemostasis
01_1_0407,hemostasis
01_1_0408,hemostasis
01_1_0409,hemostasis
01_1_0410,hemostasis
01_1_0411,hemostasis
01_1_0412,hemostasis
01_1_0413,hemostasis
01_1_0414,hemostasis
01_1_0415,hemostasis
01_1_0416,hemostasis
01_1_0417,hemostasis
01_1_0418,hemostasis
01_1_0419,hemostasis
01_1_0420,hemostasis
01_1_0421,hemostasis
01_1_0422,hemostasis
01_1_0423,hemostasis
01_1_0424,hemostasis
01_1_0425,hemostasis
01_1_0426,hemostasis
01_1_0427,hemostasis
01_1_0428,hemostasis
01_1_0429,hemostasis
01_1_0430,hemostasis
01_1_0431,hemostasis
01_1_0433,dissection
01_1_0434,dissection
01_1_0435,dissection
01_1_0436,dissection
01_1_0437,dissection
01_1_0438,dissection
01_1_0439,dissection
01_1_0440,dissection
01_1_0441,dissection
01_1_0442,dissection
01_1_0443,dissection
01_1_0444,dissection
01_1_0445,dissection
01_1_0446,dissection
01_1_0447,dissection
01_1_0448,dissection
01_1_0449,dissection
01_1_0450,dissection
01_1_0451,dissection
01_1_0452,dissection
01_1_0453,dissection
01_1_0454,dissection
01_1_0455,dissection
01_1_0456,dissection
01_1_0457,dissection
01_1_0458,dissection
01_1_0459,dissection
01_1_0460,dissection
01_1_0461,dissection
01_1_0462,dissection
01_1_0463,dissection
01_1_0464,dissection
01_1_0465,dissection
01_1_0466,dissection
01_1_0467,dissection
01_1_0468,dissection
01_1_0469,dissection
01_1_0470,dissection
01_1_0471,dissection
01_1_0472,dissection
01_1_0473,dissection
01_1_0474,dissection
01_1_0475,dissection
01_1_0476,incision
01_1_0477,incision
01_1_0478,incision
01_1_0479,incision
01_1_0480,incision
01_1_0481,incision
01_1_0482,incision
01_1_0483,incision
01_1_0484,incision
01_1_0485,incision
01_1_0486,incision
01_1_0487,hemostasis
01_1_0488,hemostasis
01_1_0489,hemostasis
01_1_0490,hemostasis
01_1_0491,hemostasis
01_1_0492,hemostasis
01_1_0493,hemostasis
01_1_0494,hemostasis
01_1_0495,hemostasis
01_1_0496,hemostasis
01_1_0497,hemostasis
01_1_0498,hemostasis
01_1_0499,hemostasis
01_1_0500,hemostasis
01_1_0501,hemostasis
01_1_0502,hemostasis
01_1_0503,hemostasis
01_1_0504,dissection
01_1_0505,dissection
01_1_0506,dissection
01_1_0507,dissection
01_1_0508,dissection
01_1_0509,dissection
01_1_0510,dissection
01_1_0511,dissection
01_1_0512,dissection
01_1_0513,dissection
01_1_0514,dissection
01_1_0515,dissection
01_1_0516,dissection
01_1_0517,dissection
01_1_0518,dissection
01_1_0519,dissection
01_1_0520,dissection
01_1_0523,incision
01_1_0524,incision
01_1_0525,incision
01_1_0526,incision
01_1_0527,incision
01_1_0528,incision
01_1_0531,dissection
01_1_0532,dissection
01_1_0533,dissection
01_1_0534,dissection
01_1_0535,dissection
01_1_0536,dissection
01_1_0537,dissection
01_1_0538,dissection
01_1_0539,dissection
01_1_0540,dissection
01_1_0541,dissection
01_1_0542,dissection
01_1_0543,dissection
01_1_0544,dissection
01_1_0545,dissection
01_1_0546,hemostasis
01_1_0547,hemostasis
01_1_0548,hemostasis
01_1_0549,hemostasis
01_1_0550,hemostasis
01_1_0551,hemostasis
01_1_0552,hemostasis
01_1_0553,hemostasis
01_1_0554,hemostasis
01_1_0555,hemostasis
01_1_0556,hemostasis
01_1_0557,hemostasis
01_1_0558,hemostasis
01_1_0559,hemostasis
01_1_0560,hemostasis
01_1_0561,hemostasis
01_1_0562,hemostasis
01_1_0563,hemostasis
01_1_0564,hemostasis
01_1_0565,hemostasis
01_1_0566,hemostasis
01_1_0567,hemostasis
01_1_0568,hemostasis
01_1_0569,hemostasis
01_1_0570,hemostasis
01_1_0571,hemostasis
01_1_0572,hemostasis
01_1_0573,hemostasis
01_1_0574,hemostasis
01_1_0575,hemostasis
01_1_0576,hemostasis
01_1_0577,hemostasis
01_1_0578,hemostasis
01_1_0579,hemostasis
01_1_0580,hemostasis
01_1_0581,hemostasis
01_1_0582,hemostasis
01_1_0583,hemostasis
01_1_0584,hemostasis
01_1_0585,hemostasis
01_1_0586,hemostasis
01_1_0587,hemostasis
01_1_0588,hemostasis
01_1_0589,hemostasis
01_1_0590,hemostasis
01_1_0591,hemostasis
01_1_0592,hemostasis
01_1_0593,hemostasis
01_1_0594,hemostasis
01_1_0600,closure
01_1_0601,closure
01_1_0602,closure
01_1_0603,closure
01_1_0604,closure
01_1_0605,closure
01_1_0606,closure
01_1_0607,closure
01_1_0608,closure
01_1_0609,closure
01_1_0610,closure
01_1_0611,closure
01_1_0612,closure
01_1_0613,closure
01_1_0614,closure
01_1_0615,closure
01_1_0616,closure
01_1_0617,closure
01_1_0618,closure
01_1_0619,closure
01_1_0620,closure
01_1_0621,closure
01_1_0622,closure
01_1_0623,closure
01_1_0624,closure
01_1_0625,closure
01_1_0626,closure
